W,H,S,E,Z,
9.5611205,5.1853645,6.7962572,3.9837716,100.0317085,
7.3469041,7.6521250,5.6326403,8.4902509,70.6656853,
4.8234888,1.0008995,0.9485188,9.3218497,52.4776765,
6.1251023,7.3487014,2.3524008,5.2469511,66.6632701,
9.0671378,4.1300894,6.7074983,6.1601532,90.2165314,
6.2102655,2.2986926,7.6726526,5.9435287,117.4078237,
8.4581316,3.5646787,9.8112898,4.6229190,120.3918466,
6.0000000,4.2549283,2.0000000,5.4733164,65.0293750,
2.8392507,9.1435824,8.6759829,5.4029284,124.7039517,
1.4579493,4.8875956,5.4951328,5.8101817,128.9749315,
2.4939091,6.1357036,8.2304057,3.5121955,153.7727189,
7.2999760,2.9718019,9.7346498,3.4098569,138.1915231,
6.8897936,7.2488355,8.8899402,8.8212929,84.9625432,
3.6607512,2.0102760,3.4474439,3.4776391,115.9773196,
2.4876397,8.0456125,4.3923621,9.7308644,81.3257596,
4.4240823,5.6237660,1.9541401,7.5229542,59.9069872,
6.0964607,0.1543796,2.4553457,5.1156057,115.7857720,
4.3343508,3.3709225,8.3291459,6.9407841,116.0426403,
6.7960644,8.0487877,0.7639508,9.8292346,34.6338811,
4.5591890,8.0272337,7.6572030,5.5784469,105.9582998,
6.6863040,3.0017220,9.3004737,2.7962397,145.1760843,
2.5329372,3.5260500,4.5867441,7.0584304,101.8161881,
2.7815618,9.5624927,6.1538444,3.7660991,129.5595746,
0.6322561,0.3259460,0.2594990,8.0023555,62.8151832,
8.3403969,2.2316997,6.4912696,9.9323746,87.0766706,
7.5030461,7.9348594,7.3749985,9.5700841,73.6943847,
6.9765047,2.0361572,0.6584563,6.2735752,44.8387488,
5.0589985,2.6186145,8.3426511,9.2881357,106.8289701,
0.8100467,1.3652697,9.8081358,8.6507384,190.5071263,
9.9654334,6.7575569,5.5830109,7.8578630,68.6243814,
0.6070190,1.3100639,0.2663711,3.6387318,78.7169757,
1.8214400,0.5009852,3.2722149,1.1241596,182.8570814,
2.7871120,9.0748165,6.5689016,7.0161675,102.9166169,
4.9657433,4.6144451,5.5136370,2.3313867,131.1914932,
5.3090721,2.3957494,5.2218313,4.3320965,113.6557323,
4.2963553,8.8374372,8.2255492,8.4949578,91.7131435,
3.6210820,7.3816732,5.9188254,5.1246688,107.2331909,
8.6792342,2.9132902,1.3678584,8.7682208,45.5775556,
7.0848652,7.7805196,3.7231746,5.6216510,72.6989729,
1.7176434,2.1247098,7.6852348,2.3984522,202.4033241,
5.5423983,8.8695882,9.4761271,6.1952324,103.2610521,
6.5172431,5.4606519,3.8295571,7.7760459,68.1308151,
5.8654115,9.2338283,2.8889324,8.7506419,57.5128660,
6.9273977,7.4734591,7.3264089,7.2216833,85.1013667,
9.8730537,7.3211804,1.0481490,3.9038417,51.2700290,
3.0646669,5.7867556,4.3702019,8.6765100,82.5726033,
2.7806741,6.3500000,2.0000000,1.7916443,118.6900943,
5.9986853,2.8912853,6.1679516,7.2849356,96.5313442,
